ReplicateNameSkyline,Condition,Sample,DilutionFactor
V220107_29,Vivacon,S2021-231-15_1,1
V220107_30,Vivacon,S2021-231-14_1,1
V220107_31,Vivacon,S2021-231-13_1,1
V220107_32,Vivacon,S2021-231-12_1,1
V220107_33,Vivacon,S2021-231-11_1,1
V220107_35,Microcon,S2021-231-10_1,1
V220107_36,Microcon,S2021-231-09_1,1
V220107_37,Microcon,S2021-231-08_1,1
V220107_38,Microcon,S2021-231-07_1,1
V220107_39,Microcon,S2021-231-06_1,1
V220107_41,Nanosep,S2021-231-05_1,1
V220107_42,Nanosep,S2021-231-04_1,1
V220107_43,Nanosep,S2021-231-03_1,1
V220107_44,Nanosep,S2021-231-02_1,1
V220107_45,Nanosep,S2021-231-01_1,1
V220107_47,Vivacon,S2021-231-15_2,1
V220107_48,Vivacon,S2021-231-14_2,1
V220107_49,Vivacon,S2021-231-13_2,1
V220107_50,Vivacon,S2021-231-12_2,1
V220107_51,Vivacon,S2021-231-11_2,1
V220107_53,Microcon,S2021-231-10_2,1
V220107_54,Microcon,S2021-231-09_2,1
V220107_55,Microcon,S2021-231-08_2,1
V220107_56,Microcon,S2021-231-07_2,1
V220107_57,Microcon,S2021-231-06_2,1
V220107_59,Nanosep,S2021-231-05_2,1
V220107_60,Nanosep,S2021-231-04_2,1
V220107_61,Nanosep,S2021-231-03_2,1
V220107_62,Nanosep,S2021-231-02_2,1
V220107_63,Nanosep,S2021-231-01_2,1
V220118_09,Vivacon,S2021-231-15_3,1
V220118_10,Vivacon,S2021-231-14_3,1
V220118_11,Vivacon,S2021-231-13_3,1
V220118_12,Vivacon,S2021-231-12_3,1
V220118_13,Vivacon,S2021-231-11_3,1
V220118_17,Microcon,S2021-231-10_3,1
V220118_18,Microcon,S2021-231-09_3,1
V220118_19,Microcon,S2021-231-08_3,1
V220118_20,Microcon,S2021-231-07_3,1
V220118_21,Microcon,S2021-231-06_3,1
V220118_25,Nanosep,S2021-231-05_3,1
V220118_26,Nanosep,S2021-231-04_3,1
V220118_27,Nanosep,S2021-231-03_3,1
V220118_28,Nanosep,S2021-231-02_3,1
V220118_29,Nanosep,S2021-231-01_3,1
